order_item_id,order_id,product_id,quantity,unit_price
1,1000,66,1,13.99
2,1001,85,3,19.99
3,1001,46,3,26.99
4,1001,75,1,27.99
5,1001,99,1,89.99
6,1002,101,2,24.99
7,1002,108,4,79.99
8,1003,41,4,39.99
9,1003,97,4,27.99
10,1003,80,3,9.99
11,1004,96,3,14.99
12,1005,1,4,24.99
13,1006,59,4,79.99
14,1006,112,4,14.99
15,1006,39,3,59.99
16,1006,89,4,15.99
17,1007,25,1,29.99
18,1008,62,2,16.99
19,1008,84,2,8.99
20,1009,12,3,18.99
21,1009,99,4,89.99
22,1010,22,2,64.99
23,1011,75,2,27.99
24,1011,26,3,34.99
25,1011,73,4,39.99
26,1011,7,3,79.99
27,1012,54,4,45.99
28,1012,95,3,6.99
29,1012,5,4,219.0
30,1012,52,4,129.99
31,1013,30,1,89.99
32,1013,68,1,3.99
33,1013,55,3,12.99
34,1013,71,1,6.49
35,1014,64,3,7.49
36,1015,37,2,14.99
37,1015,61,3,7.99
38,1016,117,3,34.99
39,1016,118,4,10.99
40,1016,17,3,34.99
41,1016,93,4,18.99
42,1016,54,3,45.99
43,1017,89,1,15.99
44,1017,86,4,11.99
45,1017,17,2,34.99
46,1018,102,4,18.99
47,1019,7,1,79.99
48,1019,46,3,26.99
49,1019,46,2,26.99
50,1019,23,1,39.99
51,1019,104,1,39.99
52,1020,16,2,99.0
53,1020,63,3,59.99
54,1021,35,2,16.99
55,1021,110,1,16.99
56,1021,91,1,21.99
57,1021,119,4,17.99
58,1021,103,4,32.99
59,1022,101,1,24.99
60,1022,106,1,13.99
61,1022,65,1,11.99
62,1022,22,1,64.99
63,1022,112,2,14.99
64,1023,98,4,15.99
65,1023,94,1,16.99
66,1023,20,3,54.99
67,1023,43,2,8.99
68,1024,32,4,27.99
69,1025,35,3,16.99
70,1026,20,4,54.99
71,1026,101,2,24.99
72,1027,110,3,16.99
73,1027,4,4,149.99
74,1027,19,1,119.0
75,1027,92,1,10.99
76,1028,56,1,19.99
77,1028,51,1,189.0
78,1029,81,3,24.99
79,1030,112,3,14.99
80,1030,93,3,18.99
81,1030,117,3,34.99
82,1030,2,3,89.99
83,1030,116,2,25.99
84,1031,80,4,9.99
85,1031,90,3,7.99
86,1031,114,4,19.99
87,1031,100,2,9.99
88,1031,113,3,42.99
89,1032,93,2,18.99
90,1032,67,3,9.49
91,1032,28,1,12.99
92,1032,66,3,13.99
93,1033,3,1,39.99
94,1033,114,3,19.99
95,1034,15,1,89.99
96,1034,108,3,79.99
97,1034,34,3,18.99
98,1034,16,1,99.0
99,1034,97,1,27.99
100,1035,59,3,79.99
101,1036,109,2,11.99
102,1036,45,3,34.99
103,1036,37,2,14.99
104,1036,92,4,10.99
105,1036,67,2,9.49
106,1037,106,3,13.99
107,1037,59,1,79.99
108,1038,12,1,18.99
109,1039,10,3,32.99
110,1039,87,4,49.99
111,1039,76,4,34.99
112,1039,112,3,14.99
113,1040,89,4,15.99
114,1040,94,4,16.99
115,1040,106,2,13.99
116,1040,19,2,119.0
117,1041,111,1,12.99
118,1041,89,2,15.99
119,1041,59,4,79.99
120,1041,5,2,219.0
121,1041,72,3,42.0
122,1042,16,3,99.0
123,1043,16,3,99.0
124,1043,40,3,42.99
125,1044,19,4,119.0
126,1044,7,3,79.99
127,1045,1,1,24.99
128,1045,71,3,6.49
129,1045,9,1,129.99
130,1045,54,4,45.99
131,1046,101,4,24.99
132,1046,61,2,7.99
133,1046,98,2,15.99
134,1047,86,4,11.99
135,1047,20,3,54.99
136,1047,12,4,18.99
137,1047,50,2,8.99
138,1048,95,3,6.99
139,1048,83,1,13.99
140,1048,111,2,12.99
141,1048,91,1,21.99
142,1049,72,1,42.0
143,1049,83,1,13.99
144,1049,25,1,29.99
145,1050,65,1,11.99
146,1050,16,2,99.0
147,1050,3,3,39.99
148,1050,101,2,24.99
149,1051,11,3,45.0
150,1051,52,1,129.99
151,1051,63,1,59.99
152,1051,44,4,15.99
153,1052,49,3,6.99
154,1052,12,1,18.99
155,1052,13,2,12.99
156,1053,20,3,54.99
157,1054,42,2,11.99
158,1054,4,1,149.99
159,1054,39,4,59.99
160,1054,13,3,12.99
161,1054,19,4,119.0
162,1055,26,2,34.99
163,1056,97,4,27.99
164,1056,15,3,89.99
165,1056,8,3,109.99
166,1056,60,4,4.99
167,1056,9,4,129.99
168,1057,35,1,16.99
169,1058,73,4,39.99
170,1058,58,1,14.99
171,1058,109,2,11.99
172,1059,69,4,22.99
173,1059,117,4,34.99
174,1060,38,2,49.99
175,1060,1,1,24.99
176,1060,120,4,22.99
177,1060,35,3,16.99
178,1060,108,4,79.99
179,1061,37,1,14.99
180,1061,21,1,14.99
181,1061,39,1,59.99
182,1061,51,1,189.0
183,1061,107,2,29.99
184,1062,65,3,11.99
185,1062,114,3,19.99
186,1062,82,3,44.99
187,1062,97,4,27.99
188,1062,35,2,16.99
189,1063,77,3,12.99
190,1063,3,2,39.99
191,1063,83,1,13.99
192,1063,78,4,29.99
193,1064,72,4,42.0
194,1064,98,4,15.99
195,1064,69,1,22.99
196,1064,101,1,24.99
197,1065,87,1,49.99
198,1065,46,4,26.99
199,1065,106,3,13.99
200,1065,50,2,8.99
201,1066,57,1,99.0
202,1066,29,1,24.99
203,1067,12,3,18.99
204,1067,104,2,39.99
205,1068,64,2,7.49
206,1068,1,2,24.99
207,1068,106,4,13.99
208,1069,22,2,64.99
209,1069,85,2,19.99
210,1069,9,2,129.99
211,1069,96,1,14.99
212,1070,94,3,16.99
213,1070,25,1,29.99
214,1070,89,3,15.99
215,1070,88,4,32.99
216,1070,1,4,24.99
217,1071,56,4,19.99
218,1071,36,1,21.99
219,1071,88,4,32.99
220,1072,114,2,19.99
221,1073,41,1,39.99
222,1073,51,2,189.0
223,1073,43,1,8.99
224,1073,113,1,42.99
225,1074,26,2,34.99
226,1074,43,3,8.99
227,1075,62,4,16.99
228,1076,108,3,79.99
229,1076,32,1,27.99
230,1076,61,2,7.99
231,1077,102,2,18.99
232,1077,10,4,32.99
233,1077,98,1,15.99
234,1077,81,4,24.99
235,1077,75,1,27.99
236,1078,114,1,19.99
237,1078,101,2,24.99
238,1078,8,4,109.99
239,1079,9,1,129.99
240,1079,87,1,49.99
241,1079,72,1,42.0
242,1079,38,4,49.99
243,1080,30,1,89.99
244,1080,59,4,79.99
245,1080,60,4,4.99
246,1080,113,1,42.99
247,1081,67,3,9.49
248,1081,76,2,34.99
249,1081,14,1,29.99
250,1081,2,1,89.99
251,1082,33,3,32.99
252,1082,54,4,45.99
253,1082,93,4,18.99
254,1082,24,2,129.99
255,1082,18,1,69.99
256,1083,66,3,13.99
257,1083,40,2,42.99
258,1083,19,4,119.0
259,1083,40,3,42.99
260,1084,85,2,19.99
261,1084,8,2,109.99
262,1084,65,1,11.99
263,1084,55,3,12.99
264,1084,26,2,34.99
265,1085,25,4,29.99
266,1085,89,4,15.99
267,1085,77,3,12.99
268,1086,54,3,45.99
269,1086,21,1,14.99
270,1086,59,1,79.99
271,1087,89,2,15.99
272,1087,60,2,4.99
273,1088,104,4,39.99
274,1088,27,4,19.99
275,1088,24,1,129.99
276,1089,72,1,42.0
277,1090,117,3,34.99
278,1090,6,1,59.99
279,1090,26,2,34.99
280,1090,37,2,14.99
281,1090,29,3,24.99
282,1091,23,2,39.99
283,1091,3,2,39.99
284,1092,49,1,6.99
285,1092,44,2,15.99
286,1093,85,2,19.99
287,1093,68,4,3.99
288,1093,113,1,42.99
289,1094,69,4,22.99
290,1094,89,3,15.99
291,1095,118,1,10.99
292,1095,98,2,15.99
293,1096,32,1,27.99
294,1096,81,3,24.99
295,1096,112,2,14.99
296,1097,101,4,24.99
297,1098,50,3,8.99
298,1098,64,4,7.49
299,1098,23,3,39.99
300,1098,92,3,10.99
301,1098,68,4,3.99
302,1099,82,1,44.99
303,1099,27,2,19.99
304,1099,115,2,8.99
305,1099,58,2,14.99
306,1100,74,2,17.99
307,1100,120,3,22.99
308,1100,33,1,32.99
309,1100,18,1,69.99
310,1101,75,1,27.99
311,1101,60,3,4.99
312,1102,48,4,79.99
313,1102,41,3,39.99
314,1102,49,1,6.99
315,1102,23,4,39.99
316,1103,116,1,25.99
317,1103,38,1,49.99
318,1103,101,3,24.99
319,1104,5,2,219.0
320,1104,43,2,8.99
321,1104,87,3,49.99
322,1105,25,2,29.99
323,1105,110,3,16.99
324,1105,2,3,89.99
325,1106,106,1,13.99
326,1106,61,2,7.99
327,1106,111,4,12.99
328,1106,30,2,89.99
329,1107,101,4,24.99
330,1107,93,4,18.99
331,1107,44,1,15.99
332,1107,41,2,39.99
333,1107,55,4,12.99
334,1108,48,2,79.99
335,1109,64,3,7.49
336,1110,98,3,15.99
337,1110,42,1,11.99
338,1110,73,1,39.99
339,1110,119,2,17.99
340,1111,117,4,34.99
341,1111,49,2,6.99
342,1111,51,1,189.0
343,1111,69,4,22.99
344,1111,25,4,29.99
345,1112,12,2,18.99
346,1112,14,2,29.99
347,1112,5,4,219.0
348,1113,37,2,14.99
349,1113,30,3,89.99
350,1113,85,1,19.99
351,1113,59,1,79.99
352,1114,111,4,12.99
353,1114,51,2,189.0
354,1114,15,2,89.99
355,1115,50,2,8.99
356,1116,21,3,14.99
357,1116,76,2,34.99
358,1116,65,4,11.99
359,1116,36,2,21.99
360,1117,78,2,29.99
361,1117,68,3,3.99
362,1117,117,4,34.99
363,1117,59,4,79.99
364,1118,83,4,13.99
365,1118,45,3,34.99
366,1118,51,2,189.0
367,1119,59,4,79.99
368,1119,117,2,34.99
369,1119,90,1,7.99
370,1119,51,1,189.0
371,1120,38,1,49.99
372,1120,90,2,7.99
373,1120,117,4,34.99
374,1120,53,1,9.99
375,1120,48,1,79.99
376,1121,53,4,9.99
377,1121,22,3,64.99
