order_id,customer_id,order_date,status,total_amount
1001,29,2025-01-05,cancelled,59.24
1002,21,2025-01-07,shipped,139.93
1003,3,2025-01-08,shipped,36.99
1004,1,2025-01-12,shipped,59.98
1005,22,2025-01-24,shipped,69.98
1006,40,2025-02-01,cancelled,79.99
1007,35,2025-02-04,shipped,70.97
1008,1,2025-02-06,shipped,70.94
1009,32,2025-02-06,shipped,346.49
1010,45,2025-02-08,shipped,29.99
1011,5,2025-02-18,shipped,103.83
1012,22,2025-02-19,shipped,19.95
1013,40,2025-02-19,shipped,14.99
1014,24,2025-02-24,shipped,149.80
1015,16,2025-02-28,shipped,34.50
1016,17,2025-03-05,shipped,41.00
1017,21,2025-03-09,shipped,45.00
1018,7,2025-03-18,shipped,26.99
1019,18,2025-03-23,shipped,318.97
1020,18,2025-03-24,shipped,64.99
1021,30,2025-03-27,shipped,32.99
1022,6,2025-04-02,shipped,203.99
1023,16,2025-04-03,shipped,11.25
1024,39,2025-04-03,shipped,184.98
1025,6,2025-04-05,shipped,34.99
1026,1,2025-04-14,shipped,27.99
1027,38,2025-04-16,shipped,79.99
1028,10,2025-05-03,shipped,9.99
1029,10,2025-05-14,shipped,184.96
1030,5,2025-05-16,shipped,9.99
1031,12,2025-05-18,shipped,79.98
1032,27,2025-05-23,shipped,31.49
1033,35,2025-06-05,shipped,44.00
1034,18,2025-06-10,shipped,137.97
1035,2,2025-06-20,shipped,18.99
1036,4,2025-06-20,shipped,34.99
1037,1,2025-06-22,shipped,11.25
1038,27,2025-06-22,shipped,119.97
1039,25,2025-06-23,shipped,25.00
1040,5,2025-07-02,shipped,105.98
1041,40,2025-07-02,shipped,27.99
1042,34,2025-07-04,returned,264.99
1043,28,2025-07-13,returned,59.90
1044,35,2025-07-13,returned,31.98
1045,5,2025-07-14,shipped,34.50
1046,20,2025-07-18,shipped,278.46
1047,23,2025-07-25,shipped,32.99
1048,6,2025-08-03,shipped,269.97
1049,8,2025-08-06,cancelled,64.99
1050,11,2025-08-12,shipped,32.99
1051,34,2025-08-16,shipped,42.00
1052,33,2025-08-19,shipped,259.98
1053,41,2025-08-27,shipped,56.97
1054,39,2025-08-28,shipped,25.99
1055,1,2025-09-03,shipped,19.95
1056,26,2025-09-04,shipped,109.99
1057,40,2025-09-04,shipped,189.00
1058,29,2025-09-09,shipped,65.97
1059,43,2025-09-12,shipped,129.99
1060,11,2025-09-14,shipped,19.95
1061,24,2025-09-16,shipped,64.99
1062,23,2025-09-19,returned,36.99
1063,9,2025-09-28,shipped,113.83
1064,36,2025-10-02,shipped,82.93
1065,43,2025-10-02,shipped,64.99
1066,8,2025-10-03,shipped,45.75
1067,35,2025-10-04,shipped,53.98
1068,9,2025-10-11,shipped,208.94
1069,34,2025-10-12,shipped,184.98
1070,10,2025-10-13,shipped,24.99
1071,41,2025-10-16,returned,68.19
1072,28,2025-10-19,returned,45.00
1073,4,2025-10-21,shipped,24.99
1074,26,2025-11-07,shipped,12.50
1075,1,2025-11-08,shipped,14.99
1076,25,2025-11-09,shipped,89.94
1077,2,2025-11-12,shipped,98.00
1078,4,2025-11-13,shipped,34.99
1079,4,2025-11-19,shipped,220.95
1080,32,2025-11-19,shipped,45.00
1081,1,2025-12-04,processing,92.99
1082,37,2025-12-06,shipped,114.99
1083,34,2025-12-09,processing,32.99
1084,21,2025-12-15,shipped,24.99
1085,36,2025-12-28,shipped,43.98
